181;9;1;Mairie_de_Montreuil
182;13;0;Mairie_de_Saint-Ouen
183;11;1;Mairie_des_Lilas
184;7;0;Maison_Blanche
185;8;0;Maisons-Alfort_les_Juilliottes
186;8;0;Maisons-Alfort,_Stade
187;13;0;Malakoff-Plateau_de_Vanves
188;13;0;Malakoff-Rue_Étienne_Dolet
189;3;0;Malesherbes
190;9;0;Maraîchers
191;12;0;Marcadet_Poissonniers
192;4;0;Marcadet_Poissonniers
193;9;0;Marcel_Sembat
194;12;0;Marx_Dormoy
195;10;0;Maubert_Mutualité
196;10;0;Michel_Ange_Auteuil
197;9;0;Michel_Ange_Auteuil
198;10;0;Michel_Ange_Molitor
199;9;0;Michel_Ange_Molitor
200;8;0;Michel_Bizot
201;10;0;Mirabeau
202;13;0;Miromesnil
203;9;0;Miromesnil
204;2;0;Monceau
205;8;0;Montgallet
206;12;0;Montparnasse_Bienvenue
207;13;0;Montparnasse_Bienvenue
208;4;0;Montparnasse_Bienvenue
209;6;0;Montparnasse_Bienvenue
210;4;0;Mouton-Duvernet
211;2;0;Ménilmontant
212;1;0;Nation
213;2;1;Nation
214;6;1;Nation
215;9;0;Nation
216;6;0;Nationale
217;12;0;Notre_Dame_de_Lorette
218;12;0;Notre-Dame-des-Champs
219;5;0;Oberkampf
220;9;0;Oberkampf
221;10;0;Odéon
222;4;0;Odéon
223;3;0;Opéra
224;7;0;Opéra
225;8;0;Opéra
226;5;0;Ourcq
227;1;0;Palais_Royal,_Musée_du_Louvre
228;7;0;Palais_Royal,_Musée_du_Louvre
229;3;0;Parmentier
230;6;0;Passy
231;12;0;Pasteur
232;6;0;Pasteur
233;3b;0;Pelleport
234;13;0;Pernety
235;2;0;Philippe-Auguste
236;6;0;Picpus
237;7;0;Pierre_Curie
238;12;0;Pigalle
239;2;0;Pigalle
240;8;1;Place_Balard
241;7;0;Place_Monge
242;5;1;Place_d'Italie
243;6;0;Place_d'Italie
244;7;0;Place_d'Italie
245;13;0;Place_de_Clichy
246;2;0;Place_de_Clichy
247;11;0;Place_des_Fêtes
248;7b;0;Place_des_Fêtes
249;13;0;Plaisance
250;7;0;Poissonnière
251;3;1;Pont_de_Levallois,_Bécon
252;1;0;Pont_de_Neuilly
253;9;1;Pont_de_Sèvres
254;7;0;Pont-Marie
255;7;0;Pont-Neuf
256;2;1;Porte_Dauphine
257;8;0;Porte_Dorée
258;1;0;Porte_Maillot
259;10;0;Porte_d'Auteuil
260;7;0;Porte_d'Italie
261;7;0;Porte_d'Ivry
262;4;1;Porte_d'Orléans
263;3;0;Porte_de_Bagnolet
264;3;0;Porte_de_Champerret
265;8;0;Porte_de_Charenton
266;7;0;Porte_de_Choisy
267;13;0;Porte_de_Clichy
268;4;1;Porte_de_Clignancourt
269;9;0;Porte_de_Montreuil
270;5;0;Porte_de_Pantin
271;9;0;Porte_de_Saint-Cloud
272;13;0;Porte_de_Saint-Ouen
273;13;0;Porte_de_Vanves
274;12;0;Porte_de_Versailles
275;1;0;Porte_de_Vincennes
276;12;1;Porte_de_la_Chapelle
277;7;0;Porte_de_la_Villette
278;11;0;Porte_des_Lilas
279;3b;1;Porte_des_Lilas
280;7b;1;Pré-Saint-Gervais
281;14;0;Pyramides
282;7;0;Pyramides
283;11;0;Pyrénées
284;2;0;Père_Lachaise
285;3;0;Père_Lachaise
286;3;0;Péreire
287;6;0;Quai_de_la_Gare
288;5;0;Quai_de_la_Rapée
289;3;0;Quatre_Septembre
290;11;0;Rambuteau
291;9;0;Ranelagh
292;4;0;Raspail
293;6;0;Raspail
294;12;0;Rennes
295;1;0;Reuilly_Diderot
296;8;0;Reuilly_Diderot
297;5;0;Richard_Lenoir
298;8;0;Richelieu_Drouot
299;9;0;Richelieu_Drouot
300;7;0;Riquet
301;9;0;Robespierre
302;2;0;Rome
303;8;0;Rue_Montmartre,_Grands_Boulevards
304;9;0;Rue_Montmartre,_Grands_Boulevards
305;3;0;Rue_Saint-Maur
306;9;0;Rue_de_la_Pompe
307;9;0;Rue_des_Boulets
308;12;0;Rue_du_Bac
309;3;0;Réaumur_Sébastopol
310;4;0;Réaumur_Sébastopol
311;11;0;République
312;3;0;République
313;5;0;République
314;8;0;République
315;9;0;République
316;9;0;Saint-Ambroise
317;9;0;Saint-Augustin
318;13;0;Saint-Denis-Porte_de_Paris
319;13;1;Saint-Denis-Université
320;3b;0;Saint-Fargeau
321;13;0;Saint-Francois_Xavier
322;12;0;Saint-Georges
323;4;0;Saint-Germain-des-Prés
324;6;0;Saint-Jacques
325;12;0;Saint-Lazare
326;13;0;Saint-Lazare
327;3;0;Saint-Lazare
328;1;0;Saint-Mandé,_Tourelle
329;5;0;Saint-Marcel
330;4;0;Saint-Michel
331;1;0;Saint-Paul,_Le_Marais
332;9;0;Saint-Philippe_du_Roule
333;4;0;Saint-Placide
334;4;0;Saint-Sulpice
335;8;0;Saint-Sébastien-Froissart
336;3;0;Sentier
337;4;0;Simplon
338;12;0;Solférino
339;2;0;Stalingrad
340;5;0;Stalingrad
341;7;0;Stalingrad
342;4;0;Strasbourg_Saint-Denis
343;8;0;Strasbourg_Saint-Denis
344;9;0;Strasbourg_Saint-Denis
345;7;0;Sully_Morland
346;10;0;Sèvres_Babylone
347;12;0;Sèvres_Babylone
348;6;0;Sèvres_Lecourbe
349;10;0;Ségur
350;3;0;Temple
351;2;0;Ternes
352;7;0;Tolbiac
353;12;0;Trinité_d'Estienne_d'Orves
354;6;0;Trocadéro
355;9;0;Trocadéro
356;1;0;Tuileries
357;11;0;Télégraphe
358;10;0;Vaneau
359;13;0;Varenne
360;12;0;Vaugirard
361;4;0;Vavin
362;2;0;Victor_Hugo
363;7;1;Villejuif,_Louis_Aragon
364;7;0;Villejuif,_Léo_Lagrange
365;7;0;Villejuif,_P._Vaillant_Couturier
366;2;0;Villiers
367;3;0;Villiers
368;12;0;Volontaires
369;9;0;Voltaire
370;3;0;Wagram
371;8;0;École_Militaire
372;8;0;École_Vétérinaire_de_Maisons-Alfort
373;10;0;Église_d'Auteuil
374;5;0;Église_de_Pantin
375;4;0;Étienne_Marcel
376;RER_A;0;Charles_de_Gaulle_Étoile_RER
377;RER_A;0;Auber_RER
378;RER_A;0;Châtelet_Les_Halles_RER
379;RER_A;0;Gare_de_Lyon_RER
380;RER_A;0;Nation_RER
381;RER_B;0;Gare_du_Nord_RER
382;RER_B;0;Châtelet_Les_Halles_RER
383;RER_B;0;Saint_Michel_Notre-Dame_RER
384;RER_B;0;Denfert_Rochereau_RER
385;RER_B;0;Luxembourg_RER
386;RER_C;0;Champ_de_Mars_Tour_Eiffel_RER
387;RER_C;0;Musée_d'Orsay_RER
388;RER_C;0;Saint_Michel _Notre_Dame_RER
389;RER_C;0;Gare_d'Austerlitz_RER
390;RER_C;0;Bibliothèque_François_Mitterrand_RER
391;RER_C;0;Invalides_RER
392;RER_C;0;Javel_RER
393;RER_C;0;Avenue_du_Président_Kennedy_RER
394;RER_D;0;Gare_du_Nord_RER
395;RER_D;0;Châtelet_Les_Halles_RER
396;RER_D;0;Gare_de_Lyon_RER
397;RER_D;0;Bibliothèque_François_Mitterrand_RER
398;RER_E;0;Magenta_RER
